relation	concept	tsne_x	tsne_y
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#22919	3.913	4.491
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10735	3.994	4.818
#gene-disease-association	#gene-disease-association_disease/mesh#D017202	4.670	4.443
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6777	5.750	5.000
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6262	4.267	4.773
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6383	3.389	4.336
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#1956	7.052	5.368
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7533	3.613	4.338
#gene-disease-association	#gene-disease-association_disease/mesh#D007249	4.374	1.690
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9126	3.721	4.637
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5439	4.213	5.071
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7531	3.205	5.033
#gene-disease-association	#gene-disease-association_disease/mesh#D013274	4.981	2.241
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23710	4.352	5.349
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7775	5.683	6.214
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5903	4.766	5.405
#drug-has-target	#drug-has-target_protein/uniprot#P14550	1.211	3.270
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23036	4.214	7.423
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#208	4.353	3.938
#drug-has-target	#drug-has-target_protein/uniprot#Q9P0Z9	3.153	5.379
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#4893	3.475	3.797
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#200728	3.768	5.322
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23064	4.685	6.055
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2335	4.791	4.636
#gene-disease-association	#gene-disease-association_disease/mesh#D056486	4.985	4.492
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6385	4.256	4.386
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#84292	3.760	4.034
#drug-has-target	#drug-has-target_protein/uniprot#P35575	4.155	4.205
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5885	4.194	5.762
#drug-has-target	#drug-has-target_protein/uniprot#Q9BTU6	4.017	4.114
#gene-disease-association	#gene-disease-association_disease/mesh#D008113	4.524	4.036
#gene-disease-association	#gene-disease-association_disease/mesh#D003110	4.300	6.452
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10274	4.473	3.830
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#1956	3.377	5.379
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6633	3.985	5.397
#drug-has-target	#drug-has-target_protein/uniprot#Q00796	3.559	5.655
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6608	3.993	2.984
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6776	5.398	4.453
#gene-disease-association	#gene-disease-association_disease/mesh#D008106	4.908	4.028
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#207	6.065	5.589
pathwaycommons#controls-transport-of-chemical	pathwaycommons#controls-transport-of-chemical_chemical/chebi#29108	6.572	4.978
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#10000	6.539	4.472
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6776	6.032	5.343
#drug-has-target	#drug-has-target_protein/uniprot#P55786	5.458	3.471
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5440	4.423	4.771
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5437	4.055	2.138
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9967	6.359	5.343
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6778	4.735	4.123
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#58506	6.627	2.492
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#10165	4.634	4.939
#gene-disease-association	#gene-disease-association_disease/mesh#D003924	4.953	4.277
#gene-disease-association	#gene-disease-association_disease/mesh#D000230	5.977	4.319
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6776	5.260	4.546
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#22938	3.395	5.035
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10652	4.401	5.734
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#8848	5.160	5.452
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2915	4.881	3.791
#gene-disease-association	#gene-disease-association_disease/mesh#D003921	4.900	4.357
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#998	5.264	3.797
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6018	5.762	5.287
#drug-has-target	#drug-has-target_protein/uniprot#Q16775	2.889	4.731
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5594	5.330	4.922
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4163	4.693	1.686
#drug-has-target	#drug-has-target_protein/uniprot#P51451	4.875	5.595
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6778	5.540	4.674
#gene-disease-association	#gene-disease-association_disease/mesh#D002277	2.964	5.653
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#5594	3.600	5.434
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5829	3.644	5.853
#gene-disease-association	#gene-disease-association_disease/mesh#D019966	4.546	4.597
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6654	3.854	3.867
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5433	7.197	5.782
#gene-disease-association	#gene-disease-association_disease/mesh#D001321	5.089	4.134
#gene-disease-association	#gene-disease-association_disease/mesh#D002289	5.058	4.635
#gene-disease-association	#gene-disease-association_disease/mesh#D008325	3.492	4.532
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7094	3.155	4.337
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8615	3.065	5.150
#gene-disease-association	#gene-disease-association_disease/mesh#D011230	4.887	2.799
#gene-disease-association	#gene-disease-association_disease/mesh#D015470	3.281	4.124
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#51259	3.794	5.220
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4790	3.895	4.968
#drug-has-target	#drug-has-target_protein/uniprot#P02774	5.386	5.509
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#11346	4.436	2.787
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6773	5.435	5.075
#drug-has-target	#drug-has-target_protein/uniprot#O00519	4.120	3.424
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9612	4.085	5.582
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#151246	6.071	3.968
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6778	5.263	6.051
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#3845	4.117	3.761
#gene-disease-association	#gene-disease-association_disease/mesh#D012559	5.168	4.361
#drug-has-target	#drug-has-target_protein/uniprot#P17342	4.629	3.735
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6775	5.420	4.111
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5435	4.470	5.509
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#3265	3.269	3.602
#gene-disease-association	#gene-disease-association_disease/mesh#D001171	5.254	5.214
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6772	5.264	4.726
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5931	3.222	4.779
#drug-has-target	#drug-has-target_protein/uniprot#P53634	3.921	3.500
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4627	5.127	3.951
#gene-disease-association	#gene-disease-association_disease/mesh#D011471	5.702	3.535
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5595	5.268	10.000
#gene-disease-association	#gene-disease-association_disease/mesh#D008607	5.649	4.838
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#10000	5.316	4.252
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#389	5.100	3.564
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6331	2.864	5.362
#drug-has-target	#drug-has-target_protein/uniprot#P21266	3.851	4.178
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6774	4.562	4.244
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#5595	5.469	4.886
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6775	5.563	4.445
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#84557	4.532	5.201
#drug-has-target	#drug-has-target_protein/uniprot#Q9H228	3.468	6.052
#gene-disease-association	#gene-disease-association_disease/mesh#D015674	2.955	4.122
#drug-has-target	#drug-has-target_protein/uniprot#Q9BTY2	4.067	3.603
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5295	4.028	3.906
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7273	5.100	6.354
#gene-disease-association	#gene-disease-association_disease/mesh#D001749	5.464	3.775
#gene-disease-association	#gene-disease-association_disease/mesh#D001172	5.064	3.749
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6777	5.400	4.641
#drug-has-indication	#drug-has-indication_disease/mesh#D009369	5.300	3.597
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#60684	5.064	5.280
#gene-disease-association	#gene-disease-association_disease/mesh#D019465	4.425	4.431
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5979	4.011	4.661
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#25759	5.022	1.965
#gene-disease-association	#gene-disease-association_disease/mesh#D015179	4.722	3.922
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#26123	4.281	6.002
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#1576	3.275	3.827
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6510	4.851	5.252
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2911	6.360	4.019
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#83660	4.903	5.787
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54820	3.446	4.749
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#208	5.716	4.382
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23315	4.833	4.985
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6709	4.989	3.342
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#710	5.599	5.929
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6775	3.530	3.527
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5747	4.734	4.294
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#56949	4.093	5.391
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5441	6.613	3.763
#gene-disease-association	#gene-disease-association_disease/mesh#D001943	3.837	4.768
#gene-disease-association	#gene-disease-association_disease/mesh#D009765	4.898	4.775
#gene-disease-association	#gene-disease-association_disease/mesh#D002471	3.072	3.837
#gene-disease-association	#gene-disease-association_disease/mesh#D009361	4.941	6.034
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#388	3.974	3.234
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6709	3.966	5.747
#drug-has-indication	#drug-has-indication_disease/mesh#D002318	4.738	3.348
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2793	4.601	3.171
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9991	3.752	4.455
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9467	5.437	5.321
#gene-disease-association	#gene-disease-association_disease/mesh#D002292	4.296	5.569
#gene-disease-association	#gene-disease-association_disease/mesh#D008175	4.575	3.529
#gene-disease-association	#gene-disease-association_disease/mesh#D008114	3.629	2.850
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5430	4.111	5.216
#gene-disease-association	#gene-disease-association_disease/mesh#D004715	2.941	3.292
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6134	4.016	5.068
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7532	3.039	4.951
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9814	3.919	4.320
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7276	3.830	6.797
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3848	4.676	4.759
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4609	4.300	5.214
#gene-disease-association	#gene-disease-association_disease/mesh#D012640	6.000	3.785
#drug-has-target	#drug-has-target_protein/uniprot#P55211	6.757	5.828
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6714	3.552	4.931
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5500	4.504	2.822
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6774	5.776	4.220
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#79183	6.262	4.365
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#5595	4.820	3.584
#drug-has-target	#drug-has-target_protein/uniprot#P45983	4.363	6.174
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#207	5.603	4.175
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8243	3.659	4.776
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#81631	4.454	5.150
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5438	3.076	4.563
#gene-disease-association	#gene-disease-association_disease/mesh#D002294	5.327	3.329
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5108	3.547	4.044
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7414	4.221	4.570
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#5594	5.902	4.861
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5434	3.305	4.592
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#10174	4.959	5.127
#gene-disease-association	#gene-disease-association_disease/mesh#D019970	5.885	3.895
#gene-disease-association	#gene-disease-association_disease/mesh#D015430	5.392	2.623
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5518	4.583	5.840
pathwaycommons#controls-production-of	pathwaycommons#controls-production-of_chemical/chebi#16618	4.121	3.938
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5879	4.363	3.630
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6256	3.558	1.686
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5347	4.055	4.440
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#387	5.646	3.778
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6464	5.125	5.024
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6773	5.411	5.690
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5432	2.611	6.325
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#8481	3.606	3.957
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7412	4.396	4.972
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7314	4.528	5.366
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6396	7.627	5.663
#gene-disease-association	#gene-disease-association_disease/mesh#D008545	4.352	3.398
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5928	3.539	5.156
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6683	6.040	5.142
#gene-disease-association	#gene-disease-association_disease/mesh#D009362	5.693	3.179
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6777	5.661	4.568
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#26165	3.739	5.006
pathwaycommons#controls-transport-of-chemical	pathwaycommons#controls-transport-of-chemical_chemical/chebi#29103	5.965	4.549
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3857	3.336	5.644
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6772	3.701	3.419
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9218	4.667	5.641
#gene-disease-association	#gene-disease-association_disease/mesh#D006973	3.991	5.979
#gene-disease-association	#gene-disease-association_disease/mesh#D011085	3.819	3.690
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#3576	3.438	8.011
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6773	5.602	5.081
#drug-has-target	#drug-has-target_protein/uniprot#P12319	4.293	4.122
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7074	0.886	3.378
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5436	5.093	5.705
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6767	4.973	5.424
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3725	4.669	5.115
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#79867	4.605	7.100
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8202	5.947	1.236
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5431	3.826	5.555
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6772	6.025	2.809
#drug-has-target	#drug-has-target_protein/uniprot#P28300	0.000	7.150
#drug-has-target	#drug-has-target_protein/uniprot#P23141	4.012	2.666
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10681	4.512	3.209
#gene-disease-association	#gene-disease-association_disease/mesh#D018450	2.169	4.714
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#26278	5.797	4.725
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#55611	4.153	4.907
#gene-disease-association	#gene-disease-association_disease/mesh#D000022	7.001	4.076
#gene-disease-association	#gene-disease-association_disease/mesh#D006528	5.072	4.838
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#53358	2.836	3.049
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6774	5.476	4.307
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5048	4.332	2.009
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#152185	3.608	4.156
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#84174	6.096	4.947
